Name,Height
Brian Butch,83
Donnie Butcher,74
Al Butler,74
Caron Butler,79
Da'Sean Butler,79
Greg Butler,83
Jackie Butler,82
Jimmy Butler,79
Mitchell Butler,77
Rasual Butler,79
Dwight Buycks,75
Derrick Byars,79
Andrew Bynum,84
Will Bynum,72
Marty Byrnes,79
Tommy Byrnes,75
Mike Bytzura,73
Zarko Cabarkapa,83
Barney Cable,79
Bruno Caboclo,81
Devontae Cacok,79
Jason Caffey,80
Michael Cage,81
Gerry Calabrese,73
Nick Calathes,78
Jose Calderon,75
Adrian Caldwell,80
Jim Caldwell,82
Joe Caldwell,77
Kentavious Caldwell-Pope,77
Bill Calhoun,75
Corky Calhoun,79
Demetrius Calip,73
Tom Callahan,73
Rick Calloway,78
Ernie Calverley,70
Mack Calvin,72
Dexter Cambridge,79
Marcus Camby,83
Elden Campbell,84
Tony Campbell,79
Isaiah Canaan,72
Vlatko Cancar,80
Larry Cannon,76
Clint Capela,82
Derrick Caracter,81
Brian Cardinal,80
Howie Carl,69
Chet Carlisle,77
Geno Carlisle,75
Rick Carlisle,77
Al Carlson,83
Don Carlson,72
Bob Carney,75
Rodney Carney,79
Bob Carpenter,77
Antoine Carr,81
Austin Carr,76
Chris Carr,78
Cory Carr,76
Kenny Carr,79
M.L. Carr,78
Bob Carrington,78
DeMarre Carroll,78
Joe Barry Carroll,84
Matt Carroll,78
Jimmy Carruth,82
Anthony Carter,73
Butch Carter,77
Fred Carter,75
George Carter,76
Howard Carter,77
Jake Carter,76
Jevon Carter,73
Maurice Carter,77
Reggie Carter,75
Ron Carter,77
Vince Carter,78
Wendell Carter Jr.,82
Michael Carter-Williams,77
Bill Cartwright,85
Jay Carty,79
Alex Caruso,76
Cornelius Cash,80
Sam Cassell,75
Omri Casspi,81
Harvey Catchings,81
Terry Catledge,80
Sid Catlett,78
Kelvin Cato,83
Bobby Cattage,81
Willie Cauley-Stein,84
Troy Caupain,76
Duane Causwell,84
Tyler Cavanaugh,81
Ron Cavenall,85
Cedric Ceballos,79
John Celestand,75
Al Cervi,71
Lionel Chalmers,72
Mario Chalmers,74
Bill Chamberlain,78
Wilt Chamberlain,85
Jerry Chambers,77
Tom Chambers,82
Mike Champion,82
Tyson Chandler,84
Wilson Chandler,80
Don Chaney,77
John Chaney,75
Rex Chapman,76
Len Chappell,80
Ken Charles,75
Lorenzo Charles,79
Joe Chealey,76
Calbert Cheaney,79
Zylan Cheatham,77
Maurice Cheeks,73
Phil Chenier,75
Will Cherry,NA
Derrick Chievous,79
Pete Chilcutt,82
Josh Childress,80
Randolph Childress,74
Chris Childs,75
Chris Chiozza,71
Leroy Chollet,74
Jim Chones,83
Marquese Chriss,81
Fred Christ,76
Cal Christensen,77
Bob Christian,82
Doug Christie,78
Dionte Christmas,NA
Rakeem Christmas,81
Semaj Christon,75
Patrick Christopher,NA
Robert Churchwell,78
Archie Clark,74
Carlos Clark,76
Earl Clark,82
Gary Clark,78
Ian Clark,75
Keon Clark,83
Brandon Clarke,80
Coty Clarke,79
Jordan Clarkson,76
Gian Clavell,76
Victor Claver,NA
Charles Claxton,84
Nicolas Claxton,83
Speedy Claxton,71
Jim Cleamons,75
Mateen Cleaves,74
John Clemens,78
Chris Clemons,69
Antonius Cleveland,77
Nat Clifton,78
Bill Closs,78
Keith Closs,87
Paul Cloyd,74
Marion Cluggish,82
Ben Clyde,79
Amir Coffey,79
Richard Coffey,78
Fred Cofield,75
John Coker,NA
Norris Cole,74
Ben Coleman,81
Derrick Coleman,82
E.C. Coleman,80
Jack Coleman,79
Norris Coleman,80
Bimbo Coles,74
Jason Collier,84
Art Collins,76
Don Collins,78
Doug Collins,78
James Collins,76
Jarron Collins,83
Jason Collins,84
Jimmy Collins,74
John Collins,81
Mardy Collins,78
